"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 09:45:26 GMT 2025","Mon Mar 17 09:45:28 GMT 2025","2083","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testUpdateAuthor","testUpdateAuthor()",""
"passed","Mon Mar 17 09:45:28 GMT 2025","Mon Mar 17 09:45:28 GMT 2025","488","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthors","testGetAuthors()",""
"passed","Mon Mar 17 09:45:28 GMT 2025","Mon Mar 17 09:45:29 GMT 2025","405","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testDeleteAuthor","testDeleteAuthor()",""
"passed","Mon Mar 17 09:45:30 GMT 2025","Mon Mar 17 09:45:30 GMT 2025","621","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBooks","testGetBooks()",""
"passed","Mon Mar 17 09:45:29 GMT 2025","Mon Mar 17 09:45:30 GMT 2025","403","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testCreateAuthor","testCreateAuthor()",""
"passed","Mon Mar 17 09:45:31 GMT 2025","Mon Mar 17 09:45:31 GMT 2025","394","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBookById","testGetBookById()",""
"passed","Mon Mar 17 09:45:31 GMT 2025","Mon Mar 17 09:45:32 GMT 2025","379","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testDeleteBook","testDeleteBook()",""
"passed","Mon Mar 17 09:45:30 GMT 2025","Mon Mar 17 09:45:31 GMT 2025","404","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testUpdateBook","testUpdateBook()",""
"passed","Mon Mar 17 09:45:31 GMT 2025","Mon Mar 17 09:45:31 GMT 2025","401","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testCreateBook","testCreateBook()",""
"passed","Mon Mar 17 09:45:29 GMT 2025","Mon Mar 17 09:45:29 GMT 2025","424","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthorById","testGetAuthorById()",""
