"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 09:43:51 GMT 2025","Mon Mar 17 09:43:52 GMT 2025","659","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testUpdateBook","testUpdateBook()",""
"passed","Mon Mar 17 09:43:47 GMT 2025","Mon Mar 17 09:43:48 GMT 2025","817","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthors","testGetAuthors()",""
"passed","Mon Mar 17 09:43:50 GMT 2025","Mon Mar 17 09:43:51 GMT 2025","965","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBooks","testGetBooks()",""
"passed","Mon Mar 17 09:43:52 GMT 2025","Mon Mar 17 09:43:53 GMT 2025","649","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testCreateBook","testCreateBook()",""
"passed","Mon Mar 17 09:43:44 GMT 2025","Mon Mar 17 09:43:47 GMT 2025","2996","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testUpdateAuthor","testUpdateAuthor()",""
"passed","Mon Mar 17 09:43:48 GMT 2025","Mon Mar 17 09:43:49 GMT 2025","632","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testDeleteAuthor","testDeleteAuthor()",""
"passed","Mon Mar 17 09:43:49 GMT 2025","Mon Mar 17 09:43:50 GMT 2025","647","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testCreateAuthor","testCreateAuthor()",""
"passed","Mon Mar 17 09:43:53 GMT 2025","Mon Mar 17 09:43:54 GMT 2025","639","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testDeleteBook","testDeleteBook()",""
"passed","Mon Mar 17 09:43:49 GMT 2025","Mon Mar 17 09:43:49 GMT 2025","664","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthorById","testGetAuthorById()",""
"passed","Mon Mar 17 09:43:52 GMT 2025","Mon Mar 17 09:43:52 GMT 2025","691","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBookById","testGetBookById()",""
