"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 22:31:40 GMT 2025","Sun Mar 16 22:31:41 GMT 2025","568","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBookById","testGetBookById()",""
"passed","Sun Mar 16 22:31:41 GMT 2025","Sun Mar 16 22:31:42 GMT 2025","438","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testDeleteBook","testDeleteBook()",""
"passed","Sun Mar 16 22:31:41 GMT 2025","Sun Mar 16 22:31:41 GMT 2025","435","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testCreateBook","testCreateBook()",""
"passed","Sun Mar 16 22:31:37 GMT 2025","Sun Mar 16 22:31:37 GMT 2025","551","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthors","testGetAuthors()",""
"passed","Sun Mar 16 22:31:38 GMT 2025","Sun Mar 16 22:31:39 GMT 2025","427","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testCreateAuthor","testCreateAuthor()",""
"passed","Sun Mar 16 22:31:35 GMT 2025","Sun Mar 16 22:31:37 GMT 2025","2257","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testUpdateAuthor","testUpdateAuthor()",""
"passed","Sun Mar 16 22:31:37 GMT 2025","Sun Mar 16 22:31:38 GMT 2025","437","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testDeleteAuthor","testDeleteAuthor()",""
"passed","Sun Mar 16 22:31:40 GMT 2025","Sun Mar 16 22:31:40 GMT 2025","439","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testUpdateBook","testUpdateBook()",""
"passed","Sun Mar 16 22:31:38 GMT 2025","Sun Mar 16 22:31:38 GMT 2025","427","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthorById","testGetAuthorById()",""
"passed","Sun Mar 16 22:31:39 GMT 2025","Sun Mar 16 22:31:40 GMT 2025","1149","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBooks","testGetBooks()",""
