"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 09:36:09 GMT 2025","Mon Mar 17 09:36:10 GMT 2025","579","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBookById","testGetBookById()",""
"passed","Mon Mar 17 09:36:04 GMT 2025","Mon Mar 17 09:36:06 GMT 2025","1850","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthors","testGetAuthors()",""
"passed","Mon Mar 17 09:36:08 GMT 2025","Mon Mar 17 09:36:08 GMT 2025","842","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBooks","testGetBooks()",""
"passed","Mon Mar 17 09:36:06 GMT 2025","Mon Mar 17 09:36:06 GMT 2025","575","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testDeleteAuthor","testDeleteAuthor()",""
"passed","Mon Mar 17 09:36:06 GMT 2025","Mon Mar 17 09:36:07 GMT 2025","589","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthorById","testGetAuthorById()",""
"passed","Mon Mar 17 09:36:07 GMT 2025","Mon Mar 17 09:36:08 GMT 2025","592","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testCreateAuthor","testCreateAuthor()",""
"passed","Mon Mar 17 09:36:08 GMT 2025","Mon Mar 17 09:36:09 GMT 2025","547","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testUpdateBook","testUpdateBook()",""
"passed","Mon Mar 17 09:36:01 GMT 2025","Mon Mar 17 09:36:04 GMT 2025","2496","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testUpdateAuthor","testUpdateAuthor()",""
"passed","Mon Mar 17 09:36:10 GMT 2025","Mon Mar 17 09:36:10 GMT 2025","606","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testCreateBook","testCreateBook()",""
"passed","Mon Mar 17 09:36:10 GMT 2025","Mon Mar 17 09:36:11 GMT 2025","558","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testDeleteBook","testDeleteBook()",""
